Número;Cliente (Completo);Serviço (2º Nível);Status;Esforço estimado;Tempo trabalhado;Andamento;Data da última ação;Tipo de faturamento;Responsável;Account Manager ;Aberto em;Resolvido em;Vencimento em;Assunto;Serviço (3º Nível)
3219;STELLA - ULTRA FILIAL;M365;Bloqueado;208.0;240:26:00;75.0;16/06/2025 00:00;Faturar no inicio do projeto;Luciano Seabra;Edison Sprandel;19/01/2024 00:00;;30/05/2025 23:00;STELLA, Migração Tenant M365;Migracao de tenant para tenant
3329;FOCUS ENGENHARIA;Data e Power;Fechado;180.0;71:13:00;;31/03/2025 00:00;Descontar do PLUS no inicio do projeto;CDB Data Solutions;Eder Rodrigues;26/01/2024 00:00;31/03/2025 00:00;05/04/2024 00:00;FOCUS ENGENHARIA, SOU PLUS (PROJECT, BI E POWER PLATFORM);Desenvolvimento e implementação de projeto Power BI
5481;PHARLAB INDUSTRIA FARMACEUTICA S.A;Azure;Fechado;20.0;398:10:00;75.0;20/02/2025 00:00;Faturar no inicio do projeto;René Pretto de Braga ;Cleber Bastos;20/05/2024 00:00;20/02/2025 00:00;16/01/2025 00:00;PHARLAB, AZURE;Migracao Workload On Premises para Azure
4956;Tuper - Divisao Tubos;M365;Fechado;80.0;333:47:00;100.0;09/01/2025 00:00;PRIME;Luciano Seabra;Cleber Bastos;19/04/2024 00:00;09/01/2025 00:00;13/01/2025 22:00;TUPER COMERCIAL SA, Microsoft 365;Migracao GSuite para M365
5269;Via Certa;M365;Fechado;57.0;69:44:00;100.0;23/01/2025 00:00;Descontar do PLUS no inicio do projeto;Tadeu Trajano;Erika Okada;07/05/2024 00:00;23/01/2025 00:00;20/01/2025 18:00;Via Certa- Projeto de federação de Tenant;Migracao de tenant para tenant
4200;ENFORCE GESTAO DE ATIVOS S.A.;Data e Power;Fechado;84.0;214:08:00;100.0;13/04/2025 00:00;Faturar no inicio do projeto;Gabriel Kolber;Thiago Alcantara;14/03/2024 00:00;13/04/2025 00:00;24/03/2025 18:00;ENFORCE - Categorização de E-mails e Mensagens Instantâneas;Desenvolvimento e implementação de projeto Data
6574;ENFORCE GESTAO DE ATIVOS S.A.;Data e Power;Aguardando;138.0;279:00:00;75.0;27/06/2025 00:00;Descontar do PLUS no inicio do projeto;Eduardo Kochhann;Thiago Alcantara;19/07/2024 00:00;;28/03/2025 18:00;ENFORCE - Projeto Assistente Virtual;Desenvolvimento e implementação de projeto Data
6103;USAGRO;M365;Fechado;35.0;12:18:00;100.0;05/03/2025 00:00;Faturado em outro projeto;Gabriel de Menezes;Mateus Silva;25/06/2024 00:00;05/03/2025 00:00;27/02/2025 23:23;USAGRO - Business Premium (Escopo ENTRA ID);Desenvolvimento e implementação de projeto Sharepoint
6889;Marilan;Azure;Fechado;700.0;662:26:00;75.0;06/06/2025 00:00;Faturar no final do projeto;René Pretto de Braga ;Mateus Silva;08/08/2024 00:00;06/06/2025 00:00;24/04/2025 14:00;MARILAN sap on azure;Desenvolvimento e implementação de projeto de Migração de Banco de Dados
5558;NEC ENERGIA;M365;Aguardando;60.0;145:24:00;75.0;30/06/2025 00:00;Faturar no inicio do projeto;Luciano Seabra;Junior Brevia;24/05/2024 00:00;;16/05/2025 10:00;NEC, Projeto Sharepoint;Desenvolvimento e implementação de projeto Sharepoint
6998;LIONS TRUST ADMINISTRADORA DE RECURSOS LTDA;M365;Fechado;250.0;225:02:00;75.0;08/05/2025 00:00;Descontar do PLUS no inicio do projeto;Tadeu Trajano;Jéssica Oliveira;14/08/2024 00:00;08/05/2025 00:00;25/04/2025 18:00;LIONS TRUST - Projetos Segurança;Desenvolvimento e implementação de projeto INTUNE
5592;VIRALCOOL - ACUCAR E ALCOOL LTDA.;M365;Fechado;25.0;13:39:00;;27/01/2025 00:00;Faturado em outro projeto;Helen Machado;Gustavo Moyses;27/05/2024 00:00;27/01/2025 00:00;;VIRALCOOL SERTAOZINHO  / INTRANET;Desenvolvimento e implementação de projeto INTRANET
6525;TradersClub;M365;Fechado;60.0;52:16:00;50.0;13/05/2025 00:00;Descontar do PLUS no inicio do projeto;Helen Machado;Erika Okada;17/07/2024 00:00;13/05/2025 00:00;30/06/2025 18:00;TC S.A- Intranet;Desenvolvimento e implementação de projeto INTRANET
6423;CAMORIM SERVICOS MARITIMOS;Data e Power;Fechado;30.0;3:35:00;;23/01/2025 00:00;Faturar no inicio do projeto;Felipe Neiva;Gustavo Moyses;10/07/2024 00:00;23/01/2025 00:00;02/09/2024 17:00;CAMORIM / POWER APP RANCHO;Desenvolvimento e implementação de projeto Power App
7326;HAVAN;M365;Fechado;34.0;100:10:00;25.0;28/05/2025 00:00;Faturar no inicio do projeto;Eduardo Kochhann;Edison Sprandel;30/08/2024 00:00;28/05/2025 00:00;27/12/2024 23:59;HAVAN - MIGRAÇÃO SHAREPOINT SERVER - SHAREPOINT ONLINE;Desenvolvimento e implementação de projeto de migração para Sharepoint
8215;Sicoob Coopecredi;M365;Fechado;30.0;43:11:00;75.0;17/02/2025 00:00;Faturar no inicio do projeto;Gabriel de Menezes;Gustavo Moyses;16/10/2024 00:00;17/02/2025 00:00;30/01/2025 23:59;SICOOB PRO / M365 F1 - ENTRA ID P1 e RENAME SPO;Criação de ambiente M365
8295;Gustavo Alves Vieira;M365;Fechado;15.0;16:39:00;100.0;29/01/2025 00:00;Faturar no final do projeto;Gabriel de Menezes;Keila Sayuri;22/10/2024 00:00;29/01/2025 00:00;28/01/2025 23:23;GUSTAVO ALVES VIEIRA - MIGRAÇÃO GMAIL;Migracao E-mails IMAP para M365
8664;Doctor Clin Operadora de Planos de Saúde;M365;Fechado;15.0;3:09:00;100.0;30/01/2025 00:00;Descontar do PLUS no inicio do projeto;Gabriel de Menezes;Denilson Barboza;08/11/2024 00:00;30/01/2025 00:00;24/01/2025 23:59;DOCTOR CLIN - ENTRA ID;Desenvolvimento e implementação de projeto INTUNE
9011;YOSEN;M365;Fechado;50.0;2:34:00;100.0;15/03/2025 00:00;Faturar no final do projeto;Gabriel de Menezes;Mateus Silva;29/11/2024 00:00;15/03/2025 00:00;14/03/2025 18:00;YOSEN migração 365 - PCN 86878;Migracao GSuite para M365
9111;Cestas de Natal;Azure;Fechado;20.0;15:52:00;100.0;07/01/2025 00:00;Faturar no final do projeto;Mateus Augusto;Cleber Bastos;04/12/2024 00:00;07/01/2025 00:00;;CAPITALDASCESTAS, Implementação do Azure AD – 20 horas;Desenvolvimento e implementação de projeto de ADDS
9116;AQUANIMA;M365;Fechado;60.0;16:48:00;100.0;31/01/2025 00:00;Descontar do PLUS no inicio do projeto;Luciano Seabra;Gustavo Moyses;04/12/2024 00:00;31/01/2025 00:00;31/01/2025 16:00;AQUANIMA / M365 PREMIUM;Criação de ambiente M365
8998;A7 REALIZACOES;M365;Fechado;25.0;4:17:00;100.0;21/01/2025 00:00;Faturar no inicio do projeto;Luciano Seabra;Jéssica Oliveira;28/11/2024 00:00;21/01/2025 00:00;17/01/2025 17:00;A7 REALIZACOES - PROJETO - CONFIGURAÇÃO SHAREPOINT ONLINE ;Desenvolvimento e implementação de projeto Sharepoint
8292;HIDROPAN DISTRIBUICAO DE ENERGIA S.A.;M365;Fechado;30.0;67:45:00;100.0;14/01/2025 00:00;Descontar do PLUS no inicio do projeto;Luciano Seabra;Jéssica Oliveira;22/10/2024 00:00;14/01/2025 00:00;14/01/2025 23:00;HIDROPAN - Projeto Entra ID;Desenvolvimento e implementação de projeto Windows 365
7329;HT MICRON;M365;Aguardando;80.0;28:22:00;50.0;26/06/2025 00:00;PRIME;Tadeu Trajano;Junior Brevia;30/08/2024 00:00;;06/06/2025 18:00;HT MICRON, Migração FS para Sharepoint;Desenvolvimento e implementação de projeto de migração para Sharepoint
8476;GDM;M365;Fechado;173.0;83:12:00;100.0;07/01/2025 00:00;Faturar no inicio do projeto;Tadeu Trajano;Erika Okada;31/10/2024 00:00;07/01/2025 00:00;06/01/2025 18:00;GDM, Migração KWS- Exchange online;Migracao de tenant para tenant
8808;PRIME HOLDING;M365;Fechado;300.0;18:37:00;100.0;03/04/2025 00:00;PRIME;Tadeu Trajano;Junior Brevia;19/11/2024 00:00;03/04/2025 00:00;21/02/2025 15:00;PRIME HOLDING, M365 + Unificação de Tenants;Migracao de tenant para tenant
8912;CAMPOS MELLO ADVOGADOS;M365;Fechado;65.0;60:52:00;50.0;01/04/2025 00:00;Descontar do PLUS no inicio do projeto;Helen Machado;Thiago Alcantara;25/11/2024 00:00;01/04/2025 00:00;21/03/2025 18:00;Campos Mello - Sharepoint INTRANET;Desenvolvimento e implementação de projeto INTRANET
7764;HT MICRON;M365;Fechado;40.0;39:06:00;75.0;02/04/2025 00:00;Descontar do PLUS no inicio do projeto;Helen Machado;Denilson Barboza;24/09/2024 00:00;02/04/2025 00:00;31/03/2025 18:00;HT MICRON, Implementação Sharepoint INTRANET;Desenvolvimento e implementação de projeto INTRANET
