Número;Cliente (Completo);Serviço (2º Nível);Status;Esforço estimado;Tempo trabalhado;Andamento;Data da última ação;Tipo de faturamento;Responsável;Account Manager ;Aberto em;Resolvido em;Vencimento em;Assunto;Serviço (3º Nível)
8324;Bastos Juntas Industria de Autopecas;Security;Fechado;24;12:10:00;100%;06/11/2024;PRIME;Erick Alex;Gustavo Moyses;23/10/2024;06/11/2024;07/11/2024;BASTOS JUNTAS  / LOG ANALYTICS NO AZURE;Configuração de Log Analytics
1138;USAFLEX FRANQUIAS;Azure;Fechado;;00:42:00;;02/10/2023;;Daniel Modolin;;02/10/2023;02/10/2023;;Testes App Gateway;Desenvolvimento e implementação de projeto Application Gateway
1478;MERCUR;Data e Power;Fechado;;12:54:00;;19/12/2023;;Guilherme Custodio;;18/10/2023;19/12/2023;03/11/2023;Verificação sobre lentidão no Power Apps;Desenvolvimento e implementação de projeto Power App
1508;PRATI-DONADUZZI;M365;Fechado;0;11:32:00;100%;24/04/2024;;Tadeu Trajano;Mateus Silva;19/10/2023;24/04/2024;30/04/2024;Migração Ambiente Correio;Migracao Hibrida Exchange para M365
1512;MUSASHI DO BRASIL LTDA;M365;Fechado;25;14:44:00;;29/11/2023;;Tadeu Trajano;Thiago Alcantara;19/10/2023;29/11/2023;30/11/2023;MUSASHI | MIGRAÇÃO SHAREPOINT;Migração SharePoint server para SPO
1514;TW TRANSPORTES E LOGISTICA LTDA;Azure;Fechado;86;171:20:00;75%;21/08/2024;PRIME;René Pretto de Braga ;Fabio Barbosa;19/10/2023;21/08/2024;22/05/2024;TW TRANSPORTES, AZURE;Migracao de workload de Cloud privada para Azure
1516;II-BRASIL INTELIGENCIA E INFORMACAO;Azure;Fechado;18;09:20:00;;20/10/2023;PRIME;Deivid Soares;Eder Rodrigues;19/10/2023;20/10/2023;;II-BRASIL , POC DE SEGURANÇA NO AZURE;Desenvolvimento e implementação de projeto Azure Firewall
1563;Novo Cliente Pre-vendas;Azure;Fechado;;01:55:00;;26/10/2023;;Vinicius Silva;;23/10/2023;26/10/2023;;BBMO / HOSPEDAGEM DE SITE  AZURE;Desenvolvimento e implementação de projeto App Services
9147;A7 REALIZACOES;M365;Fechado;55;04:40:00;100%;21/01/2025;PRIME;Gabriel de Menezes;Jéssica Oliveira;05/12/2024;21/01/2025;21/01/2025;A7 REALIZACOES - Migração Google para MS;Migracao E-mails IMAP para M365
9180;Doctor Clin Operadora de Planos de Saúde;M365;Fechado;0;00:01:00;100%;06/12/2024;Faturado em outro projeto.;Eduardo Kochhann;Denilson Barboza;06/12/2024;06/12/2024;06/12/2024;DOCTOR CLIN - ENTRA ID P1 + INTUNE - FASE DE PLANEJAMENTO;Desenvolvimento e implementação de projeto INTUNE
